factura_id,cliente_id,cliente_nombre,sector,tipo_proyecto,fecha_factura,concepto,categoria,base_imponible,iva_21,total,pagado
FAC-0054,CLI-041,NexaTech Devices SL,Tecnologia,Plan de Promocion Internacional,2023-04-24,Plan de Promocion Internacional - NexaTech Devices SL - Factura 2/3,ingreso,3020.0,634.2,3654.2,True
FAC-0055,CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,2023-04-25,Retainer April 2023 - Olivares del Mediterraneo,ingreso,7150.0,1501.5,8651.5,True
FAC-0056,CLI-014,Embotellados del Norte SL,Agroalimentario,Consultoria Internacional Recurrente,2023-04-25,Retainer April 2023 - Embotellados del Norte SL,ingreso,8250.0,1732.5,9982.5,True
FAC-0057,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-04-25,Retainer April 2023 - InduSteel Components SA,ingreso,13750.0,2887.5,16637.5,True
FAC-0058,CLI-001,InnovaTech Solutions SL,Tecnologia,Consultoria Internacional Recurrente,2023-04-25,Retainer April 2023 - InnovaTech Solutions SL,ingreso,9350.0,1963.5,11313.5,True
FAC-0059,,,,,2023-04-26,Seguros,gasto_fijo,1550.0,325.5,1875.5,True
FAC-0060,,,,,2023-04-26,Software y SaaS,gasto_fijo,5930.0,1245.3,7175.3,True
FAC-0061,CLI-009,Alimentos del Sur SL,Agroalimentario,Consultoria Internacional Recurrente,2023-04-26,Retainer April 2023 - Alimentos del Sur SL,ingreso,9900.0,2079.0,11979.0,True
FAC-0062,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-04-26,Retainer April 2023 - Nexus Software Group,ingreso,10450.0,2194.5,12644.5,True
FAC-0063,,,,,2023-04-27,Material de oficina,gasto_fijo,840.0,176.4,1016.4,True
FAC-0064,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-04-27,Retainer April 2023 - AppDigital Labs,ingreso,6600.0,1386.0,7986.0,True
FAC-0065,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-04-27,Retainer April 2023 - DataSmart Systems SA,ingreso,11220.0,2356.2,13576.2,True
FAC-0066,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-04-27,Retainer April 2023 - CyberSecure Consulting,ingreso,12100.0,2541.0,14641.0,True
FAC-0067,CLI-013,Aceites y Olivares SL,Agroalimentario,Consultoria Internacional Recurrente,2023-04-27,Retainer April 2023 - Aceites y Olivares SL,ingreso,11000.0,2310.0,13310.0,True
FAC-0068,,,,,2023-05-02,Nominas,gasto_fijo,179300.0,0.0,179300.0,True
FAC-0069,,,,,2023-05-11,Suministros,gasto_fijo,960.0,201.6,1161.6,True
FAC-0070,,,,,2023-05-13,Software y SaaS,gasto_fijo,5070.0,1064.7,6134.7,True
FAC-0071,,,,,2023-05-15,Asesoria legal local,gasto_variable,1210.0,254.1,1464.1,True
FAC-0072,,,,,2023-05-20,Alquiler oficina,gasto_fijo,6180.0,1297.8,7477.8,True
FAC-0073,CLI-041,NexaTech Devices SL,Tecnologia,Plan de Promocion Internacional,2023-05-20,Plan de Promocion Internacional - NexaTech Devices SL - Factura 3/3,ingreso,11100.0,2331.0,13431.0,True
FAC-0074,,,,,2023-05-20,Material de oficina,gasto_fijo,510.0,107.1,617.1,True
FAC-0075,,,,,2023-05-22,Seguros,gasto_fijo,1710.0,359.1,2069.1,True
FAC-0076,,,,,2023-05-24,Servicios profesionales,gasto_fijo,4090.0,858.9,4948.9,True
FAC-0077,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-05-25,Retainer May 2023 - CyberSecure Consulting,ingreso,11550.0,2425.5,13975.5,True
FAC-0078,CLI-052,Calzados Deportivos SL,Bienes de Consumo,Plan de Promocion Internacional,2023-05-25,Plan de Promocion Internacional - Calzados Deportivos SL - Factura 3/5,ingreso,4530.0,951.3,5481.3,True
FAC-0079,CLI-001,InnovaTech Solutions SL,Tecnologia,Consultoria Internacional Recurrente,2023-05-25,Retainer May 2023 - InnovaTech Solutions SL,ingreso,8920.0,1873.2,10793.2,True
FAC-0080,CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,2023-05-25,Retainer May 2023 - Olivares del Mediterraneo,ingreso,6820.0,1432.2,8252.2,True
FAC-0081,CLI-011,Frutas y Hortalizas del Norte,Agroalimentario,Consultoria Internacional Recurrente,2023-05-25,Retainer May 2023 - Frutas y Hortalizas del Norte,ingreso,8920.0,1873.2,10793.2,True
FAC-0082,CLI-014,Embotellados del Norte SL,Agroalimentario,Consultoria Internacional Recurrente,2023-05-26,Retainer May 2023 - Embotellados del Norte SL,ingreso,7880.0,1654.8,9534.8,True
FAC-0083,CLI-007,BioTech Health SL,Tecnologia,Consultoria Internacional Recurrente,2023-05-26,Retainer May 2023 - BioTech Health SL,ingreso,8400.0,1764.0,10164.0,True
FAC-0084,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-05-26,Retainer May 2023 - AppDigital Labs,ingreso,6300.0,1323.0,7623.0,True
FAC-0085,CLI-045,Travel Experience Group,Turismo,Campana de Marketing Internacional,2023-05-26,Campana de Marketing Internacional - Travel Experience Group - Factura 1/1,ingreso,16300.0,3423.0,19723.0,True
FAC-0086,CLI-009,Alimentos del Sur SL,Agroalimentario,Consultoria Internacional Recurrente,2023-05-27,Retainer May 2023 - Alimentos del Sur SL,ingreso,9450.0,1984.5,11434.5,True
FAC-0087,CLI-013,Aceites y Olivares SL,Agroalimentario,Consultoria Internacional Recurrente,2023-05-27,Retainer May 2023 - Aceites y Olivares SL,ingreso,10500.0,2205.0,12705.0,True
FAC-0088,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-05-27,Retainer May 2023 - Nexus Software Group,ingreso,9980.0,2095.8,12075.8,True
FAC-0089,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-05-27,Retainer May 2023 - DataSmart Systems SA,ingreso,10710.0,2249.1,12959.1,True
FAC-0090,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-05-27,Retainer May 2023 - InduSteel Components SA,ingreso,13120.0,2755.2,15875.2,True
FAC-0091,,,,,2023-06-03,Nominas,gasto_fijo,191700.0,0.0,191700.0,True
FAC-0092,,,,,2023-06-10,Servicios profesionales,gasto_fijo,3140.0,659.4,3799.4,True
FAC-0093,,,,,2023-06-14,Seguros,gasto_fijo,1790.0,375.9,2165.9,True
FAC-0094,,,,,2023-06-15,Software y SaaS,gasto_fijo,5900.0,1239.0,7139.0,True
FAC-0095,,,,,2023-06-15,Material de oficina,gasto_fijo,510.0,107.1,617.1,True
FAC-0096,,,,,2023-06-16,Viajes y dietas,gasto_variable,6180.0,1297.8,7477.8,True
FAC-0097,,,,,2023-06-21,Alquiler oficina,gasto_fijo,5530.0,1161.3,6691.3,True
FAC-0098,CLI-052,Calzados Deportivos SL,Bienes de Consumo,Plan de Promocion Internacional,2023-06-23,Plan de Promocion Internacional - Calzados Deportivos SL - Factura 4/5,ingreso,3010.0,632.1,3642.1,True
FAC-0099,,,,,2023-06-24,Suministros,gasto_fijo,1050.0,220.5,1270.5,True
FAC-0100,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-06-25,Retainer June 2023 - InduSteel Components SA,ingreso,12500.0,2625.0,15125.0,True
FAC-0101,CLI-011,Frutas y Hortalizas del Norte,Agroalimentario,Consultoria Internacional Recurrente,2023-06-25,Retainer June 2023 - Frutas y Hortalizas del Norte,ingreso,8500.0,1785.0,10285.0,True
FAC-0102,CLI-014,Embotellados del Norte SL,Agroalimentario,Consultoria Internacional Recurrente,2023-06-25,Retainer June 2023 - Embotellados del Norte SL,ingreso,7500.0,1575.0,9075.0,True
FAC-0103,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-06-25,Retainer June 2023 - AppDigital Labs,ingreso,6000.0,1260.0,7260.0,True
FAC-0104,CLI-009,Alimentos del Sur SL,Agroalimentario,Consultoria Internacional Recurrente,2023-06-26,Retainer June 2023 - Alimentos del Sur SL,ingreso,9000.0,1890.0,10890.0,True
FAC-0105,CLI-012,Conservas Artesanas SL,Agroalimentario,Consultoria Internacional Recurrente,2023-06-26,Retainer June 2023 - Conservas Artesanas SL,ingreso,5500.0,1155.0,6655.0,True
FAC-0106,CLI-013,Aceites y Olivares SL,Agroalimentario,Consultoria Internacional Recurrente,2023-06-26,Retainer June 2023 - Aceites y Olivares SL,ingreso,10000.0,2100.0,12100.0,True
FAC-0107,CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,2023-06-26,Retainer June 2023 - Olivares del Mediterraneo,ingreso,6500.0,1365.0,7865.0,True
FAC-0108,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-06-26,Retainer June 2023 - Nexus Software Group,ingreso,9500.0,1995.0,11495.0,True
FAC-0109,CLI-003,CloudNet Espana SL,Tecnologia,Consultoria Internacional Recurrente,2023-06-26,Retainer June 2023 - CloudNet Espana SL,ingreso,7800.0,1638.0,9438.0,True
FAC-0110,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-06-27,Retainer June 2023 - CyberSecure Consulting,ingreso,11000.0,2310.0,13310.0,True
FAC-0111,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-06-27,Retainer June 2023 - DataSmart Systems SA,ingreso,10200.0,2142.0,12342.0,True
FAC-0112,CLI-007,BioTech Health SL,Tecnologia,Consultoria Internacional Recurrente,2023-06-27,Retainer June 2023 - BioTech Health SL,ingreso,8000.0,1680.0,9680.0,True
FAC-0113,CLI-008,CampoVerde Export SA,Agroalimentario,Consultoria Internacional Recurrente,2023-06-27,Retainer June 2023 - CampoVerde Export SA,ingreso,7200.0,1512.0,8712.0,True
FAC-0114,CLI-001,InnovaTech Solutions SL,Tecnologia,Consultoria Internacional Recurrente,2023-06-27,Retainer June 2023 - InnovaTech Solutions SL,ingreso,8500.0,1785.0,10285.0,True
FAC-0115,,,,,2023-07-02,Nominas,gasto_fijo,191610.0,0.0,191610.0,True
FAC-0116,CLI-052,Calzados Deportivos SL,Bienes de Consumo,Plan de Promocion Internacional,2023-07-03,Plan de Promocion Internacional - Calzados Deportivos SL - Factura 5/5,ingreso,5340.0,1121.4,6461.4,True
FAC-0117,,,,,2023-07-16,Servicios profesionales,gasto_fijo,3750.0,787.5,4537.5,True
FAC-0118,,,,,2023-07-17,Software y SaaS,gasto_fijo,5930.0,1245.3,7175.3,True
FAC-0119,,,,,2023-07-21,Material de oficina,gasto_fijo,420.0,88.2,508.2,True
FAC-0120,,,,,2023-07-23,Suministros,gasto_fijo,920.0,193.2,1113.2,True
FAC-0121,,,,,2023-07-23,Seguros,gasto_fijo,1520.0,319.2,1839.2,True
FAC-0122,,,,,2023-07-23,IVA Trimestral,gasto_trimestral,40420.0,0.0,40420.0,True
FAC-0123,CLI-009,Alimentos del Sur SL,Agroalimentario,Consultoria Internacional Recurrente,2023-07-25,Retainer July 2023 - Alimentos del Sur SL,ingreso,8100.0,1701.0,9801.0,True
FAC-0124,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-07-25,Retainer July 2023 - AppDigital Labs,ingreso,5400.0,1134.0,6534.0,True
FAC-0125,CLI-011,Frutas y Hortalizas del Norte,Agroalimentario,Consultoria Internacional Recurrente,2023-07-25,Retainer July 2023 - Frutas y Hortalizas del Norte,ingreso,7650.0,1606.5,9256.5,True
FAC-0126,CLI-003,CloudNet Espana SL,Tecnologia,Consultoria Internacional Recurrente,2023-07-25,Retainer July 2023 - CloudNet Espana SL,ingreso,7020.0,1474.2,8494.2,True
FAC-0127,,,,,2023-07-25,Alquiler oficina,gasto_fijo,6040.0,1268.4,7308.4,True
FAC-0128,CLI-073,Ingenieria Mecanica SL,Bienes Industriales,Campana de Marketing Internacional,2023-07-25,Campana de Marketing Internacional - Ingenieria Mecanica SL - Factura 1/2,ingreso,2640.0,554.4,3194.4,True
FAC-0129,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-07-25,Retainer July 2023 - Nexus Software Group,ingreso,8550.0,1795.5,10345.5,True
FAC-0130,CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,2023-07-25,Retainer July 2023 - Olivares del Mediterraneo,ingreso,5850.0,1228.5,7078.5,True
FAC-0131,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-07-26,Retainer July 2023 - DataSmart Systems SA,ingreso,9180.0,1927.8,11107.8,True
FAC-0132,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-07-26,Retainer July 2023 - InduSteel Components SA,ingreso,11250.0,2362.5,13612.5,True
FAC-0133,CLI-012,Conservas Artesanas SL,Agroalimentario,Consultoria Internacional Recurrente,2023-07-26,Retainer July 2023 - Conservas Artesanas SL,ingreso,4950.0,1039.5,5989.5,True
FAC-0134,CLI-014,Embotellados del Norte SL,Agroalimentario,Consultoria Internacional Recurrente,2023-07-26,Retainer July 2023 - Embotellados del Norte SL,ingreso,6750.0,1417.5,8167.5,True
FAC-0135,CLI-001,InnovaTech Solutions SL,Tecnologia,Consultoria Internacional Recurrente,2023-07-26,Retainer July 2023 - InnovaTech Solutions SL,ingreso,7650.0,1606.5,9256.5,True
FAC-0136,CLI-013,Aceites y Olivares SL,Agroalimentario,Consultoria Internacional Recurrente,2023-07-27,Retainer July 2023 - Aceites y Olivares SL,ingreso,9000.0,1890.0,10890.0,True
FAC-0137,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-07-27,Retainer July 2023 - CyberSecure Consulting,ingreso,9900.0,2079.0,11979.0,True
FAC-0138,CLI-007,BioTech Health SL,Tecnologia,Consultoria Internacional Recurrente,2023-07-27,Retainer July 2023 - BioTech Health SL,ingreso,7200.0,1512.0,8712.0,True
FAC-0139,CLI-008,CampoVerde Export SA,Agroalimentario,Consultoria Internacional Recurrente,2023-07-27,Retainer July 2023 - CampoVerde Export SA,ingreso,6480.0,1360.8,7840.8,True
FAC-0140,,,,,2023-08-02,Nominas,gasto_fijo,172930.0,0.0,172930.0,True
FAC-0141,CLI-073,Ingenieria Mecanica SL,Bienes Industriales,Campana de Marketing Internacional,2023-08-07,Campana de Marketing Internacional - Ingenieria Mecanica SL - Factura 2/2,ingreso,6660.0,1398.6,8058.6,True
FAC-0142,,,,,2023-08-10,Alquiler stands ferias,gasto_variable,3390.0,711.9,4101.9,True
FAC-0143,,,,,2023-08-11,Seguros,gasto_fijo,1680.0,352.8,2032.8,True
FAC-0144,,,,,2023-08-13,Suministros,gasto_fijo,1140.0,239.4,1379.4,True
FAC-0145,,,,,2023-08-20,Servicios profesionales,gasto_fijo,4470.0,938.7,5408.7,True
FAC-0146,CLI-005,CyberSecure Consulting,Tecnologia,Consultoria Internacional Recurrente,2023-08-25,Retainer August 2023 - CyberSecure Consulting,ingreso,6600.0,1386.0,7986.0,True
FAC-0147,CLI-008,CampoVerde Export SA,Agroalimentario,Consultoria Internacional Recurrente,2023-08-25,Retainer August 2023 - CampoVerde Export SA,ingreso,4320.0,907.2,5227.2,True
FAC-0148,CLI-013,Aceites y Olivares SL,Agroalimentario,Consultoria Internacional Recurrente,2023-08-25,Retainer August 2023 - Aceites y Olivares SL,ingreso,6000.0,1260.0,7260.0,True
FAC-0149,,,,,2023-08-25,Software y SaaS,gasto_fijo,5230.0,1098.3,6328.3,True
FAC-0150,CLI-007,BioTech Health SL,Tecnologia,Consultoria Internacional Recurrente,2023-08-25,Retainer August 2023 - BioTech Health SL,ingreso,4800.0,1008.0,5808.0,True
FAC-0151,CLI-011,Frutas y Hortalizas del Norte,Agroalimentario,Consultoria Internacional Recurrente,2023-08-25,Retainer August 2023 - Frutas y Hortalizas del Norte,ingreso,5100.0,1071.0,6171.0,True
FAC-0152,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-08-26,Retainer August 2023 - InduSteel Components SA,ingreso,7500.0,1575.0,9075.0,True
FAC-0153,,,,,2023-08-26,Alquiler oficina,gasto_fijo,6110.0,1283.1,7393.1,True
FAC-0154,,,,,2023-08-26,Material de oficina,gasto_fijo,410.0,86.1,496.1,True
FAC-0155,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-08-26,Retainer August 2023 - AppDigital Labs,ingreso,3600.0,756.0,4356.0,True
FAC-0156,CLI-067,Metalurgica Avanzada SA,Bienes Industriales,Plan de Promocion Internacional,2023-08-27,Plan de Promocion Internacional - Metalurgica Avanzada SA - Factura 1/3,ingreso,3450.0,724.5,4174.5,True
FAC-0157,CLI-004,Nexus Software Group,Tecnologia,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - Nexus Software Group,ingreso,5700.0,1197.0,6897.0,True
FAC-0158,CLI-014,Embotellados del Norte SL,Agroalimentario,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - Embotellados del Norte SL,ingreso,4500.0,945.0,5445.0,True
FAC-0159,CLI-012,Conservas Artesanas SL,Agroalimentario,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - Conservas Artesanas SL,ingreso,3300.0,693.0,3993.0,True
FAC-0160,CLI-003,CloudNet Espana SL,Tecnologia,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - CloudNet Espana SL,ingreso,4680.0,982.8,5662.8,True
FAC-0161,CLI-010,Olivares del Mediterraneo,Agroalimentario,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - Olivares del Mediterraneo,ingreso,3900.0,819.0,4719.0,True
FAC-0162,CLI-002,DataSmart Systems SA,Tecnologia,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - DataSmart Systems SA,ingreso,6120.0,1285.2,7405.2,True
FAC-0163,CLI-001,InnovaTech Solutions SL,Tecnologia,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - InnovaTech Solutions SL,ingreso,5100.0,1071.0,6171.0,True
FAC-0164,CLI-009,Alimentos del Sur SL,Agroalimentario,Consultoria Internacional Recurrente,2023-08-27,Retainer August 2023 - Alimentos del Sur SL,ingreso,5400.0,1134.0,6534.0,True
FAC-0165,,,,,2023-09-04,Nominas,gasto_fijo,186420.0,0.0,186420.0,True
FAC-0166,,,,,2023-09-05,Traduccion y adaptacion,gasto_variable,570.0,119.7,689.7,True
FAC-0167,CLI-053,Cloud Infrastructure SL,Tecnologia,Plan de Promocion Internacional,2023-09-08,Plan de Promocion Internacional - Cloud Infrastructure SL - Factura 1/2,ingreso,7580.0,1591.8,9171.8,True
FAC-0168,CLI-067,Metalurgica Avanzada SA,Bienes Industriales,Plan de Promocion Internacional,2023-09-10,Plan de Promocion Internacional - Metalurgica Avanzada SA - Factura 2/3,ingreso,6190.0,1299.9,7489.9,True
FAC-0169,,,,,2023-09-10,Material de oficina,gasto_fijo,680.0,142.8,822.8,True
FAC-0170,,,,,2023-09-10,Alquiler oficina,gasto_fijo,6450.0,1354.5,7804.5,True
FAC-0171,,,,,2023-09-18,Software y SaaS,gasto_fijo,4610.0,968.1,5578.1,True
FAC-0172,,,,,2023-09-18,Suministros,gasto_fijo,820.0,172.2,992.2,True
FAC-0173,,,,,2023-09-23,Seguros,gasto_fijo,1290.0,270.9,1560.9,True
FAC-0174,CLI-007,BioTech Health SL,Tecnologia,Consultoria Internacional Recurrente,2023-09-25,Retainer September 2023 - BioTech Health SL,ingreso,8800.0,1848.0,10648.0,True
FAC-0175,CLI-009,Alimentos del Sur SL,Agroalimentario,Consultoria Internacional Recurrente,2023-09-25,Retainer September 2023 - Alimentos del Sur SL,ingreso,9900.0,2079.0,11979.0,True
FAC-0176,CLI-015,InduSteel Components SA,Bienes Industriales,Consultoria Internacional Recurrente,2023-09-25,Retainer September 2023 - InduSteel Components SA,ingreso,13750.0,2887.5,16637.5,True
FAC-0177,CLI-006,AppDigital Labs,Tecnologia,Consultoria Internacional Recurrente,2023-09-25,Retainer September 2023 - AppDigital Labs,ingreso,6600.0,1386.0,7986.0,True
